"claim_id";"policy_id";"claim_date";"claim_amount";"claim_status"
1;1;"2023-07-12";5500.0;"Approved"
2;2;"2023-08-03";7200.0;"Approved"
3;3;"2023-09-18";4800.0;"Pending"
4;4;"2023-05-25";9600.0;"Approved"
5;5;"2023-11-09";10500.0;"Approved"
6;6;"2023-04-17";3100.0;"Pending"
7;7;"2023-08-21";8600.0;"Approved"
8;8;"2023-10-04";6900.0;"Approved"
9;9;"2023-12-02";3000.0;"Pending"
10;10;"2023-03-12";9700.0;"Approved"
11;11;"2023-04-10";5400.0;"Rejected"
12;12;"2023-07-08";6400.0;"Approved"
13;13;"2023-06-06";7800.0;"Approved"
14;14;"2023-05-13";4500.0;"Rejected"
15;15;"2023-09-20";12000.0;"Approved"
16;16;"2023-07-25";5600.0;"Approved"
17;17;"2023-08-15";9400.0;"Pending"
18;18;"2023-09-05";4900.0;"Rejected"
19;19;"2023-10-29";8300.0;"Approved"
20;20;"2023-05-02";6100.0;"Pending"
21;21;"2023-03-25";3500.0;"Rejected"
22;22;"2023-04-19";7000.0;"Approved"
23;23;"2023-07-02";8400.0;"Approved"
24;24;"2023-09-30";5600.0;"Pending"
25;25;"2023-06-17";9200.0;"Approved"
26;26;"2023-08-10";5000.0;"Rejected"
27;27;"2023-09-07";7500.0;"Approved"
28;28;"2023-05-28";4000.0;"Pending"
29;29;"2023-07-15";9700.0;"Approved"
30;30;"2023-11-12";5600.0;"Approved"
