"region_id";"region_name";"description"
1;"North Zone";"Includes Delhi, Haryana, Punjab, and surrounding areas"
2;"South Zone";"Includes Tamil Nadu, Kerala, Karnataka, Andhra Pradesh"
3;"East Zone";"Includes West Bengal, Odisha, Bihar, Jharkhand"
4;"West Zone";"Includes Maharashtra, Gujarat, Goa"
5;"Central Zone";"Includes Madhya Pradesh and Chhattisgarh"
6;"North-East Zone";"Includes Assam, Manipur, Meghalaya, Nagaland"
7;"South-West Zone";"Coastal and Western belt region"
8;"Ahmedabad Region";"Covers Ahmedabad and nearby Gujarat cities"
9;"Chennai Region";"Tamil Nadu capital and nearby districts"
10;"Delhi Region";"National Capital Region of India"
11;"Hyderabad Region";"Covers Hyderabad and Telangana districts"
12;"Kolkata Region";"Covers Kolkata and parts of West Bengal"
13;"Lucknow Region";"Covers Uttar Pradesh capital and nearby towns"
14;"Jaipur Region";"Covers Rajasthan and surrounding areas"
15;"Bhopal Region";"Covers Madhya Pradesh capital region"
16;"Indore Region";"Major business hub in Madhya Pradesh"
17;"Surat Region";"Textile hub and major city in Gujarat"
18;"Nagpur Region";"Central India key region, Maharashtra"
19;"Coimbatore Region";"Industrial city in Tamil Nadu"
20;"Patna Region";"Covers capital of Bihar and nearby districts"
21;"Bhubaneswar Region";"Covers capital of Odisha and coastal region"
22;"Chandigarh Region";"Union territory and Punjab-Haryana hub"
23;"Ranchi Region";"Covers Jharkhand capital and nearby mining towns"
24;"Dehradun Region";"Capital city of Uttarakhand"
25;"Thiruvananthapuram";"Kerala state capital region"
26;"Kochi Region";"Major port city and financial hub of Kerala"
27;"Noida Region";"Part of NCR - major IT and business hub"
28;"Gurgaon Region";"NCR region with business and insurance clusters"
29;"Vadodara Region";"Industrial and cultural city of Gujarat"
30;"Pune Region";"Technology and education hub of Maharashtra"
